epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,0.96875,,0.24646566808223724
0,99,,,,,,0.96875,,0.14525356888771057
0,149,,,,,,0.96875,,0.08272331207990646
0,199,,,,,,1.0,,0.04467156156897545
0,249,,,,,,1.0,,0.015784960240125656
0,249,,,,,0.9725000262260437,,0.1405029296875,
1,299,,,,,,1.0,,0.007717891596257687
1,349,,,,,,1.0,,0.0031547993421554565
1,399,,,,,,1.0,,0.004062214400619268
1,449,,,,,,1.0,,0.0019398339791223407
1,499,,,,,,1.0,,0.0010432699928060174
1,499,,,,,0.999875009059906,,0.005260447505861521,
2,549,,,,,,1.0,,0.0018067045602947474
2,599,,,,,,1.0,,0.0006163955549709499
2,649,,,,,,1.0,,0.0004350701638031751
2,699,,,,,,1.0,,0.0005606328486464918
2,749,,,,,,1.0,,0.0006459182477556169
2,749,,,,,1.0,,0.0008070895564742386,
3,799,,,,,,1.0,,0.0005138767301104963
3,849,,,,,,1.0,,0.00013021760969422758
3,899,,,,,,1.0,,0.00013283974840305746
3,949,,,,,,1.0,,9.742540714796633e-05
3,999,,,,,,1.0,,7.531578739872202e-05
3,999,,,,,1.0,,0.00016201974358409643,
4,1049,,,,,,1.0,,6.338202365441248e-05
4,1099,,,,,,1.0,,1.1395533874747343e-05
4,1149,,,,,,1.0,,3.358488538651727e-05
4,1199,,,,,,1.0,,2.0021247109980322e-05
4,1249,,,,,,1.0,,8.006394637050107e-06
4,1249,,,,,1.0,,3.58115867129527e-05,
,0,,0.95703125,,0.18913978338241577,,,,
,1,,0.96875,,0.0825062245130539,,,,
,2,,0.97265625,,0.06992502510547638,,,,
,3,,0.96484375,,0.15785515308380127,,,,
,4,,0.9765625,,0.10336556285619736,,,,
,5,,0.9609375,,0.11256437003612518,,,,
,6,,0.9609375,,0.12623310089111328,,,,
,7,,0.9663461446762085,,0.13266855478286743,,,,
5,1250,0.9660000205039978,,0.12152095139026642,,,,,
