epoch,loss_epoch,loss_step,step
0,,1.5594022274017334,49
0,,1.2392494678497314,99
0,5.068775177001953,,99
1,,1.311645269393921,149
1,,0.9404150247573853,199
1,1.2373013496398926,,199
2,,1.6559628248214722,249
2,,0.8139159679412842,299
2,1.0897735357284546,,299
3,,0.5490158796310425,349
3,,0.40392494201660156,399
3,0.7785168290138245,,399
4,,0.8406134843826294,449
4,,0.7064886093139648,499
4,0.7457395792007446,,499
5,,2.0626306533813477,549
5,,0.24218475818634033,599
5,0.748335599899292,,599
6,,0.5572623014450073,649
6,,0.4600052833557129,699
6,0.5127701163291931,,699
7,,0.4599250555038452,749
7,,0.15262281894683838,799
7,0.6141584515571594,,799
8,,0.39277565479278564,849
8,,0.6933885812759399,899
8,0.5571150183677673,,899
9,,0.613747239112854,949
9,,0.5428345203399658,999
9,0.5444945693016052,,999
10,,1.0470348596572876,1049
10,,0.48111677169799805,1099
10,0.5971032381057739,,1099
11,,0.6942272186279297,1149
11,,0.422757625579834,1199
11,0.5453484058380127,,1199
12,,0.502582311630249,1249
12,,0.3004894256591797,1299
12,0.5699561238288879,,1299
13,,1.6872503757476807,1349
13,,0.24838292598724365,1399
13,0.6131299734115601,,1399
14,,0.6365015506744385,1449
14,,0.2304288148880005,1499
14,0.48334652185440063,,1499
15,,0.49273979663848877,1549
15,,0.3614295721054077,1599
15,0.4974757432937622,,1599
16,,0.40446901321411133,1649
16,,0.7474654912948608,1699
16,0.4007546305656433,,1699
17,,0.2848774194717407,1749
17,,0.15472841262817383,1799
17,0.4206025004386902,,1799
18,,0.6227233409881592,1849
18,,0.31759071350097656,1899
18,0.48077592253685,,1899
19,,0.4603201150894165,1949
19,,0.8143301010131836,1999
19,0.6064268946647644,,1999
20,,0.4129021167755127,2049
20,,0.8588085174560547,2099
20,0.46103155612945557,,2099
21,,0.4820230007171631,2149
21,,0.9195934534072876,2199
21,0.44929036498069763,,2199
22,,0.4889174699783325,2249
22,,0.3930091857910156,2299
22,0.39799565076828003,,2299
23,,0.7108824253082275,2349
23,,0.3898301124572754,2399
23,0.4120347201824188,,2399
24,,0.4708636999130249,2449
24,,0.5213425159454346,2499
24,0.35976192355155945,,2499
25,,0.4019662141799927,2549
25,,0.16867589950561523,2599
25,0.30494093894958496,,2599
26,,0.5776979923248291,2649
26,,0.0865793228149414,2699
26,0.30715084075927734,,2699
27,,0.5042909383773804,2749
27,,0.13320255279541016,2799
27,0.3006395399570465,,2799
28,,0.5159077644348145,2849
28,,0.8498023748397827,2899
28,0.37734660506248474,,2899
29,,0.5897681713104248,2949
29,,0.12080419063568115,2999
29,0.3136187791824341,,2999
30,,0.19391822814941406,3049
30,,0.3486226797103882,3099
30,0.2961500883102417,,3099
31,,0.2247915267944336,3149
31,,0.16073894500732422,3199
31,0.3418957591056824,,3199
32,,0.3495674133300781,3249
32,,0.7041220664978027,3299
32,0.33697453141212463,,3299
33,,0.1856703758239746,3349
33,,0.2424403429031372,3399
33,0.32523491978645325,,3399
34,,0.4203425645828247,3449
34,,0.23093724250793457,3499
34,0.37959790229797363,,3499
35,,0.11049532890319824,3549
35,,0.8702759742736816,3599
35,0.344813734292984,,3599
36,,0.44144654273986816,3649
36,,0.584626317024231,3699
36,0.37799879908561707,,3699
37,,0.3097728490829468,3749
37,,0.67038893699646,3799
37,0.29995760321617126,,3799
38,,0.4200875759124756,3849
38,,0.5261822938919067,3899
38,0.4094266891479492,,3899
39,,0.5473123788833618,3949
39,,0.6065928936004639,3999
39,0.31908735632896423,,3999
40,,0.15304172039031982,4049
40,,0.8942493200302124,4099
40,0.2777930200099945,,4099
41,,0.5357774496078491,4149
41,,0.4060779809951782,4199
41,0.3237454295158386,,4199
42,,0.12119936943054199,4249
42,,0.28195393085479736,4299
42,0.23583383858203888,,4299
43,,0.09322583675384521,4349
43,,0.14658284187316895,4399
43,0.27107784152030945,,4399
44,,0.29554522037506104,4449
44,,0.5075315237045288,4499
44,0.2832488417625427,,4499
45,,0.22335553169250488,4549
45,,0.1158682107925415,4599
45,0.23481518030166626,,4599
46,,0.11699771881103516,4649
46,,0.17796075344085693,4699
46,0.23275421559810638,,4699
47,,0.33373332023620605,4749
47,,0.11592912673950195,4799
47,0.24466411769390106,,4799
48,,0.16252422332763672,4849
48,,0.14740502834320068,4899
48,0.24442937970161438,,4899
49,,0.26270341873168945,4949
49,,0.29206955432891846,4999
49,0.28132760524749756,,4999
50,,0.12083733081817627,5049
50,,0.2690681219100952,5099
50,0.2564738392829895,,5099
51,,0.09695315361022949,5149
51,,0.2392357587814331,5199
51,0.2998844385147095,,5199
52,,0.22856831550598145,5249
52,,0.17913901805877686,5299
52,0.22716514766216278,,5299
