epoch,step,train_between_image_disagreement_epoch,train_between_image_disagreement_step,train_within_image_disagreement_epoch,train_within_image_disagreement_step
0,24,0.8625415563583374,,0.20368297398090363,
1,49,,0.903355598449707,,0.20383337140083313
1,49,0.7967509627342224,,0.20371483266353607,
2,74,0.6971237063407898,,0.2032063901424408,
3,99,,0.7160918116569519,,0.2028963714838028
3,99,0.6998648643493652,,0.20299972593784332,
4,124,0.5964294075965881,,0.20258255302906036,
5,149,,0.6097902059555054,,0.2020968645811081
5,149,0.6825052499771118,,0.20244364440441132,
6,174,0.6147418022155762,,0.2015780508518219,
7,199,,0.9650163650512695,,0.20059646666049957
7,199,0.721871018409729,,0.2007615715265274,
8,224,0.6288037896156311,,0.200700581073761,
9,249,,0.6145370602607727,,0.19822366535663605
9,249,0.6262480020523071,,0.19974587857723236,
10,274,0.6862533688545227,,0.19797459244728088,
11,299,,1.0696933269500732,,0.19644597172737122
11,299,0.6944786906242371,,0.1971137374639511,
12,324,0.6675289273262024,,0.19439838826656342,
13,349,,0.704333484172821,,0.18988333642482758
13,349,0.6671129465103149,,0.1929742395877838,
14,374,0.5769407153129578,,0.18934664130210876,
15,399,,0.8206721544265747,,0.18504062294960022
15,399,0.6125010848045349,,0.18824739754199982,
16,424,0.5277919769287109,,0.1830388903617859,
17,449,,0.34718436002731323,,0.1794034093618393
17,449,0.5305155515670776,,0.18064317107200623,
18,474,0.5609965324401855,,0.1765420287847519,
19,499,,0.15936869382858276,,0.10460174828767776
19,499,0.3642443120479584,,0.15313510596752167,
20,524,0.12613433599472046,,0.07878407090902328,
21,549,,0.027593553066253662,,0.06534046679735184
21,549,0.06999742239713669,,0.07214054465293884,
22,574,0.03739677742123604,,0.057319626212120056,
23,599,,0.12283270061016083,,0.05303274840116501
23,599,0.07747848331928253,,0.05124957114458084,
24,624,0.06678217649459839,,0.05307408422231674,
25,649,,0.04756597429513931,,0.05195677652955055
25,649,0.0347360335290432,,0.05281977355480194,
26,674,0.04303229972720146,,0.05320638790726662,
27,699,,0.05408858507871628,,0.05234562233090401
27,699,0.029611555859446526,,0.053783517330884933,
28,724,0.041617490351200104,,0.053516797721385956,
29,749,,0.024808451533317566,,0.05262691527605057
29,749,0.03642503544688225,,0.053200989961624146,
30,774,0.02890234999358654,,0.05389349162578583,
31,799,,0.05892883613705635,,0.04789132624864578
31,799,0.02886803448200226,,0.05175263434648514,
32,824,0.050813011825084686,,0.04516766220331192,
33,849,,0.040787868201732635,,0.028560176491737366
33,849,0.05471121892333031,,0.03535962477326393,
34,874,0.06139002740383148,,0.029209811240434647,
35,899,,0.01574135571718216,,0.04023885726928711
35,899,0.03596016764640808,,0.04042119160294533,
36,924,0.026343993842601776,,0.03899304196238518,
37,949,,0.018211308866739273,,0.04004228115081787
37,949,0.02107866480946541,,0.04134897142648697,
38,974,0.02173122949898243,,0.04180619865655899,
39,999,,0.029638251289725304,,0.03682398051023483
39,999,0.03688780218362808,,0.03840021416544914,
40,1024,0.022117771208286285,,0.03889380395412445,
41,1049,,0.03373775631189346,,0.03702250495553017
41,1049,0.02516777440905571,,0.03746926039457321,
42,1074,0.02276054210960865,,0.03557855635881424,
43,1099,,0.03594786301255226,,0.02986976131796837
43,1099,0.024395374581217766,,0.031208276748657227,
44,1124,0.02168460562825203,,0.02863231673836708,
45,1149,,0.007762273773550987,,0.026058631017804146
45,1149,0.020429842174053192,,0.026008913293480873,
46,1174,0.024637391790747643,,0.02425706572830677,
47,1199,,0.06369934231042862,,0.024341179057955742
47,1199,0.030155081301927567,,0.0249018557369709,
48,1224,0.032449137419462204,,0.021881140768527985,
49,1249,,0.015962272882461548,,0.021037867292761803
49,1249,0.031633663922548294,,0.020498210564255714,
50,1274,0.02587897703051567,,0.01790875941514969,
51,1299,,0.0628596693277359,,0.009834099560976028
51,1299,0.030166329815983772,,0.010760016739368439,
52,1324,0.036658432334661484,,0.008508695289492607,
53,1349,,0.0136500783264637,,0.011100136674940586
53,1349,0.03254631161689758,,0.011238031089305878,
54,1374,0.02676323801279068,,0.008177458308637142,
55,1399,,0.029450226575136185,,0.0053331851959228516
55,1399,0.040864668786525726,,0.004662029445171356,
56,1424,0.046810220927000046,,0.005766689777374268,
57,1449,,0.011106207966804504,,0.0041885958053171635
57,1449,0.027505068108439445,,0.004226891323924065,
58,1474,0.032493576407432556,,0.003989435266703367,
59,1499,,0.019663266837596893,,0.0043251351453363895
59,1499,0.033249687403440475,,0.003364421194419265,
60,1524,0.03568946197628975,,0.0033587671350687742,
61,1549,,0.04229656234383583,,0.0029237321577966213
61,1549,0.02807929553091526,,0.0034604682587087154,
62,1574,0.028308503329753876,,0.003424619324505329,
63,1599,,0.03303411230444908,,0.005823036655783653
63,1599,0.030280303210020065,,0.00678248843178153,
64,1624,0.03003586456179619,,0.0037115546874701977,
65,1649,,0.014501351863145828,,0.003738352097570896
65,1649,0.02168271690607071,,0.0038592081982642412,
66,1674,0.021584516391158104,,0.0029560020193457603,
67,1699,,0.02081073820590973,,0.002903466112911701
67,1699,0.03387720137834549,,0.003219024511054158,
68,1724,0.03312646970152855,,0.003043701872229576,
69,1749,,0.03483649715781212,,0.0025136827025562525
69,1749,0.020227529108524323,,0.00284177390858531,
70,1774,0.025128908455371857,,0.0028414232656359673,
71,1799,,0.016277456656098366,,0.002785047050565481
71,1799,0.021937446668744087,,0.0030642645433545113,
72,1824,0.025332011282444,,0.0029923254624009132,
73,1849,,0.026737969368696213,,0.0029438077472150326
73,1849,0.023525772616267204,,0.0027108928188681602,
74,1874,0.02375863306224346,,0.0030530262738466263,
75,1899,,0.01135743036866188,,0.00279785948805511
75,1899,0.02300688438117504,,0.002564702881500125,
76,1924,0.03166336938738823,,0.0029479721561074257,
77,1949,,0.022328205406665802,,0.0034444963093847036
77,1949,0.04777458310127258,,0.0038927546702325344,
78,1974,0.034283172339200974,,0.003100142814218998,
79,1999,,0.051670242100954056,,0.0030176090076565742
79,1999,0.027454834431409836,,0.0035883202217519283,
80,2024,0.018080471083521843,,0.0029043718241155148,
81,2049,,0.024429693818092346,,0.0027016191743314266
81,2049,0.0245317742228508,,0.0024896145332604647,
82,2074,0.03458043187856674,,0.002856336534023285,
83,2099,,0.04854019731283188,,0.0026558174286037683
83,2099,0.03640928864479065,,0.00272980984300375,
84,2124,0.034204550087451935,,0.0023379174526780844,
85,2149,,0.030146151781082153,,0.0030926470644772053
85,2149,0.0383436381816864,,0.0027265569660812616,
86,2174,0.031214937567710876,,0.00265487190335989,
87,2199,,0.017060687765479088,,0.0024622506462037563
